YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,WHEELS_ON,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE
2015,1,1,10,6,2015-01-10,"AA",19805,"AA","N790AA","1",12478,1247802,31703,12892,"1225","1235",0.00,0.00,0.00,"",345.00,2475.00,
2015,1,1,20,2,2015-01-20,"AA",19805,"AA","N797AA","1",12478,1247802,31703,12892,"1154","1203",-32.00,0.00,0.00,"",349.00,2475.00,
2015,1,1,30,5,2015-01-30,"AA",19805,"AA","N792AA","1",12478,1247802,31703,12892,"1234","1242",7.00,7.00,0.00,"",352.00,2475.00,
2015,1,1,9,5,2015-01-09,"AA",19805,"AA","N790AA","2",12892,1289203,32575,12478,"1659","1711",-18.00,0.00,0.00,"",293.00,2475.00,
2015,1,1,19,1,2015-01-19,"AA",19805,"AA","N797AA","2",12892,1289203,32575,12478,"1700","1709",-20.00,0.00,0.00,"",284.00,2475.00,
2015,1,1,29,4,2015-01-29,"AA",19805,"AA","N792AA","2",12892,1289203,32575,12478,"1653","1714",-15.00,0.00,0.00,"",285.00,2475.00,
2015,1,1,8,4,2015-01-08,"AA",19805,"AA","N792AA","3",12478,1247802,31703,12892,"1543","1547",-8.00,0.00,0.00,"",358.00,2475.00,
2015,1,1,18,7,2015-01-18,"AA",19805,"AA","N792AA","3",12478,1247802,31703,12892,"1520","1528",-27.00,0.00,0.00,"",336.00,2475.00,
2015,1,1,28,3,2015-01-28,"AA",19805,"AA","","3",12478,1247802,31703,12892,"","",,,1.00,"B",,2475.00,
2015,1,1,7,3,2015-01-07,"AA",19805,"AA","N785AA","4",12892,1289203,32575,12478,"2204","2209",63.00,63.00,0.00,"",299.00,2475.00,
2015,1,1,17,6,2015-01-17,"AA",19805,"AA","N791AA","4",12892,1289203,32575,12478,"2053","2107",1.00,1.00,0.00,"",307.00,2475.00,
2015,1,1,27,2,2015-01-27,"AA",19805,"AA","","4",12892,1289203,32575,12478,"","",,,1.00,"B",,2475.00,
2015,1,1,6,2,2015-01-06,"AA",19805,"AA","N357AA","5",11298,1129803,30194,12173,"1754","1759",1.00,1.00,0.00,"",474.00,3784.00,
2015,1,1,16,5,2015-01-16,"AA",19805,"AA","N398AA","5",11298,1129803,30194,12173,"1818","1821",23.00,23.00,0.00,"",492.00,3784.00,
2015,1,1,26,1,2015-01-26,"AA",19805,"AA","N357AA","5",11298,1129803,30194,12173,"1734","1739",-19.00,0.00,0.00,"",480.00,3784.00,
2015,1,1,5,1,2015-01-05,"AA",19805,"AA","N392AA","6",13830,1383002,33830,11298,"0507","0513",3.00,3.00,0.00,"",405.00,3711.00,
2015,1,1,15,4,2015-01-15,"AA",19805,"AA","N382AA","6",13830,1383002,33830,11298,"0449","0452",-27.00,0.00,0.00,"",398.00,3711.00,
2015,1,1,25,7,2015-01-25,"AA",19805,"AA","N385AA","6",13830,1383002,33830,11298,"0526","0533",14.00,14.00,0.00,"",432.00,3711.00,
